word,count,corpus,label,Zdenka_old_hand_label
λέγω,22579,christian_0_300,-1.0,
θεός,20289,christian_0_300,-1.0,
γίγνομαι,11329,christian_0_300,-1.0,
λόγος,8879,christian_0_300,-1.0,
κύριος,7851,christian_0_300,-1.0,
φημί,7829,christian_0_300,-1.0,
ἔχω,7798,christian_0_300,-1.0,
ἄνθρωπος,7786,christian_0_300,-1.0,
ποιέω,6790,christian_0_300,-1.0,
πολύς,6160,christian_0_300,-1.0,
πᾶς,5026,christian_0_300,-1.0,
Ἰησοῦς,4789,christian_0_300,-1,
ὁράω,4589,christian_0_300,-1.0,
πατήρ,4539,christian_0_300,-1.0,
δύναμαι,4472,christian_0_300,-1.0,
ψυχή,4427,christian_0_300,-1.0,
υἱός,4120,christian_0_300,-1.0,
γῆ,3666,christian_0_300,-1.0,
ἀκούω,3572,christian_0_300,-1.0,
πνεῦμα,3472,christian_0_300,-1.0,
ἔρχομαι,3363,christian_0_300,-1.0,
δίδωμι,3206,christian_0_300,-1.0,
λαμβάνω,3186,christian_0_300,-1.0,
Χριστός,3151,christian_0_300,-1,
ἀγαθός,3135,christian_0_300,-1.0,
οἶδα,2926,christian_0_300,-1.0,
σῶμα,2860,christian_0_300,-1.0,
δέω,2777,christian_0_300,5.0,
δύναμις,2663,christian_0_300,-1.0,
ἅγιος,2601,christian_0_300,-1.0,
οὐρανός,2590,christian_0_300,-1.0,
πιστεύω,2531,christian_0_300,-1.0,
ὄνομα,2518,christian_0_300,-1.0,
μέγας,2510,christian_0_300,-1.0,
ἡμέρα,2506,christian_0_300,-1.0,
νόμος,2339,christian_0_300,-1.0,
προφήτης,2305,christian_0_300,-1.0,
βούλομαι,2301,christian_0_300,-1.0,
καλέω,2274,christian_0_300,-1.0,
γιγνώσκω,2258,christian_0_300,-1.0,
κόσμος,2252,christian_0_300,-1.0,
ἀνήρ,2247,christian_0_300,-1.0,
ἐθέλω,2216,christian_0_300,-1.0,
μόνος,2211,christian_0_300,-1.0,
εὑρίσκω,2182,christian_0_300,-1.0,
ἀλήθεια,2113,christian_0_300,-1.0,
πρῶτος,2002,christian_0_300,-1.0,
ἔργον,1937,christian_0_300,-1.0,
γράφω,1932,christian_0_300,-1.0,
δίκαιος,1925,christian_0_300,-1.0,
γυνή,1904,christian_0_300,-1.0,
κακός,1903,christian_0_300,7.0,
δοκέω,1876,christian_0_300,-1.0,
θεῖος,1861,christian_0_300,-1.0,
ὅλος,1835,christian_0_300,-1.0,
τόπος,1815,christian_0_300,-1.0,
ἁμαρτία,1804,christian_0_300,7.0,
ἀρχή,1788,christian_0_300,-1.0,
χριστός,1786,christian_0_300,-1.0,
θάνατος,1744,christian_0_300,5.0,
ἔθνος,1738,christian_0_300,6.0,
φύσις,1727,christian_0_300,-1.0,
τυγχάνω,1713,christian_0_300,-1.0,
νοέω,1699,christian_0_300,-1.0,
γραφή,1686,christian_0_300,-1.0,
ζάω,1680,christian_0_300,-1.0,
σωτήρ,1678,christian_0_300,-1.0,
καλός,1654,christian_0_300,-1.0,
ζωή,1647,christian_0_300,-1.0,
πίστις,1644,christian_0_300,-1.0,
σοφία,1642,christian_0_300,-1.0,
καρδία,1624,christian_0_300,-1.0,
ἄγγελος,1619,christian_0_300,-1.0,
βασιλεύς,1614,christian_0_300,-1.0,
ἀπόστολος,1603,christian_0_300,-1.0,
χείρ,1601,christian_0_300,-1.0,
ζητέω,1600,christian_0_300,-1.0,
δόξα,1581,christian_0_300,-1.0,
πόλις,1566,christian_0_300,-1.0,
λαός,1557,christian_0_300,-1.0,
διδάσκω,1532,christian_0_300,-1.0,
φέρω,1518,christian_0_300,-1.0,
λαλέω,1504,christian_0_300,-1.0,
νομίζω,1503,christian_0_300,-1.0,
μέλλω,1503,christian_0_300,-1.0,
μαθητής,1480,christian_0_300,-1.0,
ἴδιος,1467,christian_0_300,-1.0,
αἰών,1440,christian_0_300,-1.0,
σάρξ,1412,christian_0_300,-1.0,
φωνή,1399,christian_0_300,-1.0,
ἀδελφός,1364,christian_0_300,-1.0,
γνῶσις,1363,christian_0_300,-1.0,
οἴομαι,1344,christian_0_300,-1.0,
βίος,1339,christian_0_300,-1.0,
εἶπον,1328,christian_0_300,-1.0,
ὕδωρ,1302,christian_0_300,-1.0,
Ἰουδαῖος,1284,christian_0_300,6,
πῦρ,1274,christian_0_300,-1.0,
ὁδός,1266,christian_0_300,-1.0,
ἵστημι,1253,christian_0_300,-1.0,
ἁμαρτάνω,1248,christian_0_300,7.0,
δείκνυμι,1222,christian_0_300,-1.0,
ἀληθής,1192,christian_0_300,-1.0,
δικαιοσύνη,1169,christian_0_300,-1.0,
λοιπός,1150,christian_0_300,-1.0,
νόος,1132,christian_0_300,-1.0,
πρόσωπον,1129,christian_0_300,-1.0,
πάσχω,1122,christian_0_300,5.0,
γεννάω,1118,christian_0_300,-1.0,
βλέπω,1117,christian_0_300,-1.0,
εἰσέρχομαι,1116,christian_0_300,-1.0,
ἐκκλησία,1115,christian_0_300,-1.0,
ὀνομάζω,1107,christian_0_300,-1.0,
ὀφθαλμός,1087,christian_0_300,-1.0,
οἶκος,1079,christian_0_300,-1.0,
ἄρχω,1077,christian_0_300,-1.0,
πονηρός,1076,christian_0_300,7.0,
ἀρετή,1070,christian_0_300,-1.0,
χρόνος,1065,christian_0_300,-1.0,
ἐξέρχομαι,1057,christian_0_300,-1.0,
παραδίδωμι,1055,christian_0_300,5,
μανθάνω,1047,christian_0_300,-1.0,
πείθω,1047,christian_0_300,-1.0,
ἀποκρίνω,1046,christian_0_300,-1.0,
φάος,1039,christian_0_300,-1.0,
βασιλεία,1039,christian_0_300,-1.0,
καιρός,1024,christian_0_300,-1.0,
πράσσω,1018,christian_0_300,-1.0,
φαίνω,1015,christian_0_300,-1.0,
τρόπος,1011,christian_0_300,-1.0,
ἀγαπάω,986,christian_0_300,-1.0,
παρίστημι,985,christian_0_300,-1.0,
ἐσθίω,963,christian_0_300,-1.0,
ἄξιος,962,christian_0_300,-1.0,
τέκνον,960,christian_0_300,-1.0,
κακία,939,christian_0_300,7.0,
τίθημι,931,christian_0_300,-1.0,
σῴζω,931,christian_0_300,-1.0,
ἰησοῦς,923,christian_0_300,-1.0,
δεύτερος,922,christian_0_300,-1.0,
δαίμων,918,christian_0_300,1.0,
χράω,914,christian_0_300,-1.0,
ὀλίγος,912,christian_0_300,-1.0,
Μωϋσῆς,911,christian_0_300,-1,
μένω,907,christian_0_300,-1.0,
γένος,902,christian_0_300,-1.0,
πρᾶγμα,900,christian_0_300,-1.0,
πούς,889,christian_0_300,-1.0,
κρίνω,887,christian_0_300,1,
μέρος,884,christian_0_300,-1.0,
ἀποθνῄσκω,883,christian_0_300,5.0,
ὄρος,881,christian_0_300,-1.0,
σοφός,881,christian_0_300,-1.0,
νεκρός,880,christian_0_300,5.0,
πάθος,879,christian_0_300,5.0,
εἰκών,878,christian_0_300,-1.0,
ὑπάρχω,875,christian_0_300,-1.0,
ὅμοιος,874,christian_0_300,-1.0,
ἀπόλλυμι,865,christian_0_300,5.0,
μήτηρ,862,christian_0_300,-1.0,
ἔτος,859,christian_0_300,-1.0,
χρή,858,christian_0_300,-1.0,
γένεσις,848,christian_0_300,-1.0,
δυνατός,848,christian_0_300,-1.0,
τέλειος,846,christian_0_300,-1.0,
ἐρῶ,842,christian_0_300,-1.0,
εὐαγγέλιον,840,christian_0_300,-1.0,
Ἰωάννης,839,christian_0_300,-1,
πληρόω,837,christian_0_300,-1.0,
ἀνίστημι,836,christian_0_300,-1.0,
τέλος,836,christian_0_300,-1.0,
χάρις,833,christian_0_300,-1.0,
δηλόω,820,christian_0_300,-1.0,
ἐντολή,816,christian_0_300,-1.0,
ἀγάπη,816,christian_0_300,-1.0,
πάρειμι,812,christian_0_300,-1.0,
σωτηρία,811,christian_0_300,-1.0,
ὁμολογέω,808,christian_0_300,-1.0,
ξελσυς,795,christian_0_300,-1,
λέξις,787,christian_0_300,-1.0,
μακάριος,785,christian_0_300,-1.0,
πορεύω,782,christian_0_300,-1,
παῖς,782,christian_0_300,-1.0,
δοῦλος,779,christian_0_300,-1.0,
πέτρος,769,christian_0_300,-1.0,
ἄγω,763,christian_0_300,-1.0,
πνευματικός,758,christian_0_300,-1.0,
ἐχθρός,756,christian_0_300,7.0,
σπέρμα,751,christian_0_300,-1.0,
τηρέω,751,christian_0_300,-1.0,
εὔχομαι,750,christian_0_300,-1.0,
λίθος,746,christian_0_300,-1.0,
καρπός,735,christian_0_300,-1.0,
ζῷον,735,christian_0_300,-1.0,
διάβολος,732,christian_0_300,1.0,
Ἀβραάμ,730,christian_0_300,-1,
πρότερος,727,christian_0_300,-1.0,
καθαρός,727,christian_0_300,-1.0,
φοβέω,725,christian_0_300,-1.0,
σημεῖον,725,christian_0_300,-1.0,
αἷμα,723,christian_0_300,5.0,
μέσος,722,christian_0_300,-1.0,
ἀναβαίνω,720,christian_0_300,-1.0,
Ἰσραήλ,719,christian_0_300,-1,
τροφή,715,christian_0_300,-1.0,
ἄρτος,714,christian_0_300,-1.0,
φυλάσσω,714,christian_0_300,5,
ἀποστέλλω,703,christian_0_300,-1.0,
ἀπέρχομαι,700,christian_0_300,-1.0,
στόμα,699,christian_0_300,-1.0,
ἡδονή,696,christian_0_300,4,
ἐπιθυμία,695,christian_0_300,4,
Ἱεροσόλυμα,693,christian_0_300,-1,
ἀναγράφω,688,christian_0_300,-1.0,
πρᾶξις,684,christian_0_300,-1.0,
Παῦλος,684,christian_0_300,-1,
ὄχλος,683,christian_0_300,-1.0,
αἰώνιος,671,christian_0_300,-1.0,
δόγμα,668,christian_0_300,-1.0,
ἥλιος,667,christian_0_300,-1.0,
ἀποδίδωμι,664,christian_0_300,-1.0,
φίλος,662,christian_0_300,-1.0,
ἐξουσία,661,christian_0_300,-1.0,
κρίσις,659,christian_0_300,5.0,
διδάσκαλος,657,christian_0_300,-1.0,
προφητεύω,651,christian_0_300,-1.0,
προλέγω,647,christian_0_300,-1.0,
θεωρέω,642,christian_0_300,-1.0,
θάλασσα,638,christian_0_300,-1.0,
ἕτερος,637,christian_0_300,-1.0,
δοξάζω,637,christian_0_300,-1.0,
μικρός,635,christian_0_300,-1.0,
ἀκολουθέω,634,christian_0_300,-1.0,
αἰτέω,625,christian_0_300,-1.0,
αἰτία,624,christian_0_300,-1.0,
ἐλέγχω,623,christian_0_300,5,
Ἕλλην,621,christian_0_300,6,
παρέχω,620,christian_0_300,-1.0,
γράμμα,617,christian_0_300,-1.0,
φόβος,613,christian_0_300,-1.0,
ἔοικα,611,christian_0_300,-1.0,
ἕκαστος,609,christian_0_300,-1.0,
τρίτος,607,christian_0_300,-1.0,
ἀνθρώπινος,605,christian_0_300,-1.0,
ῥῆμα,602,christian_0_300,-1.0,
ἀφίημι,600,christian_0_300,-1.0,
κελεύω,600,christian_0_300,-1.0,
μυστήριον,598,christian_0_300,-1.0,
χωρέω,594,christian_0_300,-1.0,
νύξ,591,christian_0_300,-1.0,
κρατύς,589,christian_0_300,-1.0,
ἁμάρτημα,587,christian_0_300,7.0,
συνάγω,586,christian_0_300,-1,
ἁμαρτωλός,586,christian_0_300,7.0,
εὐχή,585,christian_0_300,-1.0,
ναός,584,christian_0_300,-1.0,
εἰρήνη,579,christian_0_300,-1.0,
οὐσία,576,christian_0_300,-1.0,
πέμπω,574,christian_0_300,-1.0,
τέχνη,570,christian_0_300,-1.0,
ἡγέομαι,568,christian_0_300,-1.0,
βάλλω,562,christian_0_300,-1.0,
παιδίον,561,christian_0_300,-1.0,
κεῖμαι,560,christian_0_300,-1.0,
φάσκω,559,christian_0_300,-1.0,
κεφαλή,557,christian_0_300,-1.0,
προσέρχομαι,553,christian_0_300,-1.0,
λογικός,553,christian_0_300,-1.0,
ὕλη,543,christian_0_300,-1.0,
ἀείρω,541,christian_0_300,-1.0,
καταβαίνω,540,christian_0_300,-1.0,
ἐλπίς,540,christian_0_300,-1.0,
προσκυνέω,538,christian_0_300,-1.0,
δῆλος,536,christian_0_300,-1.0,
πίνω,533,christian_0_300,-1.0,
διδασκαλία,533,christian_0_300,-1.0,
πρέσβυς,532,christian_0_300,-1.0,
πιστός,531,christian_0_300,-1.0,
ξύλον,530,christian_0_300,-1.0,
ἐξετάζω,530,christian_0_300,-1.0,
μαρτυρέω,529,christian_0_300,5.0,
ἐπιστρέφω,529,christian_0_300,5,
ἀριθμός,527,christian_0_300,-1.0,
εἶδον,527,christian_0_300,-1,
σκότος,523,christian_0_300,1.0,
Πέτρος,523,christian_0_300,-1,
ἐγείρω,521,christian_0_300,-1.0,
προφητεία,520,christian_0_300,-1.0,
κοινός,519,christian_0_300,-1.0,
μισέω,518,christian_0_300,3.0,
ἐπίσταμαι,518,christian_0_300,-1.0,
σημαίνω,517,christian_0_300,-1.0,
αἴτιος,514,christian_0_300,-1,
ἀνάστασις,513,christian_0_300,-1.0,
κηρύσσω,511,christian_0_300,-1.0,
παραλαμβάνω,509,christian_0_300,-1.0,
καταλείπω,506,christian_0_300,-1.0,
λύω,506,christian_0_300,-1.0,
εἷς,505,christian_0_300,-1.0,
Ἰούδας,503,christian_0_300,-1,
ἱερός,502,christian_0_300,-1.0,
ὥρα,502,christian_0_300,-1.0,
κρατέω,501,christian_0_300,5,
χρεία,499,christian_0_300,-1,
ἐναντίος,499,christian_0_300,7.0,
ἐπιφέρω,498,christian_0_300,-1.0,
παρατίθημι,497,christian_0_300,-1.0,
δημιουργός,493,christian_0_300,-1.0,
ἀποκτείνω,490,christian_0_300,5.0,
τιμή,490,christian_0_300,-1.0,
ἐρῆμος,487,christian_0_300,-1,
οἰκοδομέω,484,christian_0_300,-1.0,
δέχομαι,484,christian_0_300,-1.0,
ὀργή,484,christian_0_300,3,
ἀναλαμβάνω,483,christian_0_300,-1.0,
συμβαίνω,481,christian_0_300,-1.0,
ἐφίστημι,481,christian_0_300,-1.0,
εἶδος,479,christian_0_300,-1.0,
κολάζω,479,christian_0_300,1,
ἀνοίγνυμι,477,christian_0_300,-1.0,
ἀξιόω,477,christian_0_300,-1.0,
φυλή,476,christian_0_300,-1.0,
ἀναιρέω,473,christian_0_300,5,
χαίρω,468,christian_0_300,-1.0,
ῥητός,467,christian_0_300,-1.0,
