,sentence_id,grela_source,grela_id,author,title,not_before,not_after,lagt_tlg_epithet,lagt_genre,lagt_provenience,noscemus_place,noscemus_genre,noscemus_discipline,title_short,emlap_noscemus_id,place_publication,place_geonames,author_viaf,title_viaf,date_random,token_count,text
0,lagt_tlg2042.tlg011_232,lagt,lagt_tlg2042.tlg011,Origenes,Fragmenta In Lamentationes (In Catenis de Prophetis),220.0,254.0,['Theologici'],[],christian,,,,,,,,,,229.0,12373,ἀλλὰ τί παρακαλεῖ πρὸς ἀκοὴν τοὺς ἐχθρούς;
1,lagt_tlg4102.tlg005_8495,lagt,lagt_tlg4102.tlg005,Catenae (Novum Testamentum),Catena In Joannem,501.0,600.0,[],[],christian,,,,,,,,,,594.0,90947,"αὕτη γάρ τῆς ἀληθείας ἀναμφισβήτητος ἡ ἀπόδειξις, ὅταν τούς ἐχθρούς τις καλεῖ μάρτυρας ὧν λέγει"
2,lagt_tlg4102.tlg005_7887,lagt,lagt_tlg4102.tlg005,Catenae (Novum Testamentum),Catena In Joannem,501.0,600.0,[],[],christian,,,,,,,,,,594.0,90947,ἐμοῦ τοῦ διδασκάλου ὑμῶν περιγενομένου τοῦ ἐχθροῦ.
3,lagt_tlg2005.tlg001_47,lagt,lagt_tlg2005.tlg001,,Martyrium Pionii presbyteri et sodalium,301.0,400.0,,['Hagiogr.'],christian,,,,,,,,,,370.0,4972,"εἰ γάρ καί ἐχθροί αὐτῶν ἔσμεν, ὥς φασιν,"
4,lagt_tlg4090.tlg001_8695,lagt,lagt_tlg4090.tlg001,Cyril of Alexandria,In XII Prophetas,412.0,444.0,['Theologici'],[],christian,,,,,,,,,,425.0,482822,"εἶτα δέον πάντας τούς ἐξ Ἰσραήλ ἐχθρούς ἡγεῖσθαι καί πολεμιωτάτους τούς ἀπό Δάν, καί τῆς εἰς Θεόν δυσσεβείας ἐξαιτῆσαι λόγους, τάχα που καί συνηνέχθησαν,"
5,lagt_tlg4090.tlg001_38952,lagt,lagt_tlg4090.tlg001,Cyril of Alexandria,In XII Prophetas,412.0,444.0,['Theologici'],[],christian,,,,,,,,,,425.0,482822,"μέθῃ δή οὖν καί σκότῳ καταληφθήσεσθαί φησι τούς ἐχθρά φρονοῦντας Θεῷ, μετασοβῶν εὖ μάλα πρός τό ἑλέσθαι φρονεῖν ἅπερ ἦν ἄμεινον εἰδέναι τε καί δρᾶν αὐτούς."
6,lagt_tlg4090.tlg001_33210,lagt,lagt_tlg4090.tlg001,Cyril of Alexandria,In XII Prophetas,412.0,444.0,['Theologici'],[],christian,,,,,,,,,,425.0,482822,", κρείττους καί ἀλκιμωτέρους ἔδειξεν ἐχθρῶν. ἀλλ’ ἔδει που πάντως ἐννοεῖν, ὅτι πλημμελοῦσι δεινῶς καί ἐπί τοῖς οὕτως ἐκτόποις κατεγνωσμένοις, οὐκ ἄν ἠνέσχετο συνεῖναι Θεός."
7,lagt_tlg2038.tlg001_176,lagt,lagt_tlg2038.tlg001,Acta Thomae,Πράξεις τοῦ ἁγίου ἀποστόλου Θωμᾶ,200.0,240.0,[],[],christian,,,,,,,,,,218.0,32600,"ἡ δύναμις ἡ ἀπτόητος ἡ τόν ἐχθρόν καταστρέψασα, καί ἡ φωνή ἡ ἀκουσθεῖσα τοῖς ἄρχουσιν,"
8,lagt_tlg4090.tlg001_52913,lagt,lagt_tlg4090.tlg001,Cyril of Alexandria,In XII Prophetas,412.0,444.0,['Theologici'],[],christian,,,,,,,,,,425.0,482822,ἐχθροί τοῦ ἀνθρώπου οἱ οἰκειακοί “τοῦ.
9,lagt_tlg4090.tlg001_14495,lagt,lagt_tlg4090.tlg001,Cyril of Alexandria,In XII Prophetas,412.0,444.0,['Theologici'],[],christian,,,,,,,,,,425.0,482822,"οἱ δέ δή βρούχου καί ἀκρίδος ἡττώμενοι, ποίαν ἅν ἔτι τοῖς προσκυνοῦσιν αὐτοῖς ἐπιδοῖεν τήν ἄκεσιν εἰ μάχοιντο πρός ἐχθρούς, καί ταῖς τῶν πολεμίων πολιορκοῖντο φάλαγξιν; αί ἐζήλωσε κύριος τήν γῆν αὐτοῦ, καί ἐφείσατο τοῦ λαοῦ αὐτοῦ καί ἀπεκρίθη κυριος καί εἶπε τῷ λαῷ αὐτοῦ Ἰδού ἐγώ ἀποστέλλω ὑμῖν τόν σῖτον καί τόν οἶνόν καί τό ἔλαιον"
