word,count,corpus,lagt_label
ἐχθρός,756,christian_0_300,-1.0
θεός,151,christian_0_300,-1.0
γίγνομαι,109,christian_0_300,-1.0
λέγω,75,christian_0_300,-1.0
πᾶς,70,christian_0_300,-1.0
θάνατος,67,christian_0_300,5.0
ἀγαπάω,61,christian_0_300,-1.0
φίλος,57,christian_0_300,-1.0
κύριος,54,christian_0_300,-1.0
ἄνθρωπος,50,christian_0_300,-1.0
ψυχή,50,christian_0_300,-1.0
πατήρ,49,christian_0_300,-1.0
λόγος,49,christian_0_300,-1.0
χείρ,48,christian_0_300,5.0
υἱός,44,christian_0_300,-1.0
ποιέω,43,christian_0_300,-1.0
ἔχω,39,christian_0_300,-1.0
πούς,38,christian_0_300,5.0
μισέω,36,christian_0_300,3.0
οὐρανός,35,christian_0_300,-1.0
φημί,34,christian_0_300,-1.0
δίδωμι,33,christian_0_300,-1.0
δύναμις,32,christian_0_300,-1.0
προσεύχομαι,32,christian_0_300,-1.0
τίθημι,31,christian_0_300,-1.0
καταργέω,31,christian_0_300,
χριστός,31,christian_0_300,-1.0
ἀγαθός,29,christian_0_300,-1.0
ἔσχατος,28,christian_0_300,-1.0
δεξιός,27,christian_0_300,-1.0
πολύς,27,christian_0_300,-1.0
ἀλήθεια,26,christian_0_300,-1.0
κακός,26,christian_0_300,7.0
λαός,25,christian_0_300,-1.0
Ἰησοῦς,24,christian_0_300,
λαμβάνω,24,christian_0_300,-1.0
διάβολος,23,christian_0_300,1.0
ὑποπόδιον,23,christian_0_300,
ἐξουσία,23,christian_0_300,-1.0
Χριστός,23,christian_0_300,
παραδίδωμι,23,christian_0_300,-1.0
διώκω,23,christian_0_300,5.0
γῆ,22,christian_0_300,-1.0
βασιλεύς,21,christian_0_300,-1.0
οἶδα,20,christian_0_300,-1.0
ἅγιος,19,christian_0_300,-1.0
ἁμαρτάνω,19,christian_0_300,7.0
δύναμαι,19,christian_0_300,-1.0
ἐθέλω,18,christian_0_300,-1.0
καιρός,18,christian_0_300,-1.0
ὄφις,18,christian_0_300,1.0
ἀδικέω,18,christian_0_300,4.0
πονηρός,17,christian_0_300,7.0
ζωή,17,christian_0_300,-1.0
πίπτω,17,christian_0_300,-1.0
θλίβω,17,christian_0_300,
κάθημαι,16,christian_0_300,
δικαιοσύνη,16,christian_0_300,-1.0
ἀκούω,16,christian_0_300,-1.0
ἁμαρτία,16,christian_0_300,7.0
δίκαιος,16,christian_0_300,-1.0
πολεμέω,16,christian_0_300,5.0
κόσμος,16,christian_0_300,-1.0
ἀποθνῄσκω,16,christian_0_300,5.0
βασιλεύω,15,christian_0_300,-1.0
δέω,15,christian_0_300,-1.0
εὑρίσκω,15,christian_0_300,-1.0
δυνατός,15,christian_0_300,-1.0
ἔθνος,15,christian_0_300,-1.0
ἔρχομαι,14,christian_0_300,-1.0
εὐλογέω,14,christian_0_300,-1.0
εὔχομαι,14,christian_0_300,-1.0
μάχαιρα,13,christian_0_300,
ἀνταποδίδωμι,13,christian_0_300,
νόμος,13,christian_0_300,-1.0
δοκέω,13,christian_0_300,-1.0
ζάω,13,christian_0_300,-1.0
νῶτον,13,christian_0_300,
φύσις,13,christian_0_300,-1.0
πατέω,12,christian_0_300,
σκορπίος,12,christian_0_300,
σῶμα,12,christian_0_300,-1.0
ἀνήρ,12,christian_0_300,-1.0
μόνος,12,christian_0_300,-1.0
καλέω,12,christian_0_300,-1.0
θεῖος,12,christian_0_300,-1.0
οἶνος,12,christian_0_300,-1.0
πρόσωπον,12,christian_0_300,-1.0
ἡμέρα,11,christian_0_300,-1.0
ἐρύω,11,christian_0_300,
σάρξ,11,christian_0_300,4.0
ἐπηρεάζω,11,christian_0_300,
σωτήρ,11,christian_0_300,-1.0
κακία,11,christian_0_300,7.0
βέλος,11,christian_0_300,
ἥλιος,11,christian_0_300,-1.0
εὐεργετέω,11,christian_0_300,
χώρα,11,christian_0_300,-1.0
νικάω,11,christian_0_300,5.0
ἁμαρτωλός,11,christian_0_300,4.0
τέκνον,10,christian_0_300,-1.0
Ἰσραήλ,10,christian_0_300,
σωτηρία,10,christian_0_300,-1.0
αἰών,10,christian_0_300,-1.0
δόξα,10,christian_0_300,-1.0
παρίστημι,10,christian_0_300,-1.0
ὁδός,10,christian_0_300,-1.0
ἐναντίος,10,christian_0_300,7.0
τυγχάνω,10,christian_0_300,-1.0
ὑποτάσσω,10,christian_0_300,
ἄγγελος,10,christian_0_300,-1.0
καθαιρέω,10,christian_0_300,
ὁράω,10,christian_0_300,-1.0
πόλις,10,christian_0_300,-1.0
φωνή,10,christian_0_300,-1.0
ἴδιος,10,christian_0_300,-1.0
ῥύομαι,10,christian_0_300,
ἀσθενέω,10,christian_0_300,
φόβος,10,christian_0_300,5.0
μέσος,9,christian_0_300,-1.0
ἔργον,9,christian_0_300,-1.0
καταράομαι,9,christian_0_300,
πόλεμος,9,christian_0_300,5.0
κρατέω,9,christian_0_300,5.0
ἐπιθυμία,9,christian_0_300,4.0
πάσχω,9,christian_0_300,5.0
νοέω,9,christian_0_300,-1.0
ζητέω,9,christian_0_300,-1.0
λογισμός,9,christian_0_300,-1.0
πνεῦμα,9,christian_0_300,-1.0
φιλάνθρωπος,9,christian_0_300,
καταλείπω,9,christian_0_300,-1.0
ἀόρατος,9,christian_0_300,
οἶκος,8,christian_0_300,-1.0
ἀληθεύω,8,christian_0_300,
ἰησοῦς,8,christian_0_300,-1.0
πολέμιος,8,christian_0_300,5.0
πορεύω,8,christian_0_300,
κατακυριεύω,8,christian_0_300,
ἀποστρέφω,8,christian_0_300,
ἀπόλλυμι,8,christian_0_300,5.0
εἰσέρχομαι,8,christian_0_300,-1.0
ἀνατέλλω,8,christian_0_300,
μέγας,8,christian_0_300,-1.0
φαίνω,8,christian_0_300,-1.0
ἐλεέω,8,christian_0_300,
φοβέω,8,christian_0_300,5.0
ἀρετή,8,christian_0_300,-1.0
ἀπόστολος,8,christian_0_300,-1.0
βούλομαι,8,christian_0_300,-1.0
καταδιώκω,8,christian_0_300,
πληρόω,8,christian_0_300,-1.0
γιγνώσκω,7,christian_0_300,-1.0
ἐγείρω,7,christian_0_300,-1.0
σῴζω,7,christian_0_300,-1.0
πίστις,7,christian_0_300,-1.0
ἡγέομαι,7,christian_0_300,-1.0
ἀδελφός,7,christian_0_300,-1.0
ὀφθαλμός,7,christian_0_300,-1.0
ὀνειδίζω,7,christian_0_300,
φέρω,7,christian_0_300,-1.0
διδάσκω,7,christian_0_300,-1.0
ὑπολαμβάνω,7,christian_0_300,5.0
ἔχθρα,7,christian_0_300,
ὁμολογέω,7,christian_0_300,-1.0
γνῶσις,7,christian_0_300,-1.0
ἀντίκειμαι,7,christian_0_300,
αἰτέω,7,christian_0_300,-1.0
δεύτερος,7,christian_0_300,-1.0
αἷμα,7,christian_0_300,5.0
πείθω,7,christian_0_300,-1.0
ταράσσω,7,christian_0_300,
πλῆθος,7,christian_0_300,-1.0
δαίμων,7,christian_0_300,1.0
ἐσθίω,7,christian_0_300,-1.0
εἶπον,7,christian_0_300,
ἀνίστημι,7,christian_0_300,-1.0
τροφή,7,christian_0_300,-1.0
μέρος,7,christian_0_300,-1.0
πράσσω,7,christian_0_300,-1.0
οἴομαι,7,christian_0_300,-1.0
νομίζω,7,christian_0_300,-1.0
ἀπολύω,7,christian_0_300,-1.0
βασιλεία,7,christian_0_300,-1.0
γραφή,7,christian_0_300,-1.0
Ἰούδας,7,christian_0_300,
ὑποχείριος,7,christian_0_300,
ὠφελέω,7,christian_0_300,-1.0
ἐκδικητής,7,christian_0_300,
θλίψις,7,christian_0_300,
σταυρός,6,christian_0_300,5.0
Παῦλος,6,christian_0_300,
θεωρέω,6,christian_0_300,-1.0
παύω,6,christian_0_300,-1.0
θυμός,6,christian_0_300,4.0
καταλαμβάνω,6,christian_0_300,-1.0
ἀσεβής,6,christian_0_300,1.0
ἐντολή,6,christian_0_300,-1.0
παρέχω,6,christian_0_300,-1.0
ἐμφαίνω,6,christian_0_300,
τέλειος,6,christian_0_300,-1.0
βίος,6,christian_0_300,-1.0
εἰρήνη,6,christian_0_300,-1.0
γένος,6,christian_0_300,-1.0
ἀναιρέω,6,christian_0_300,5.0
κεφαλή,6,christian_0_300,-1.0
πειράω,6,christian_0_300,-1.0
ἕτερος,6,christian_0_300,-1.0
φεύγω,6,christian_0_300,5.0
τόπος,6,christian_0_300,-1.0
ἰσχύς,6,christian_0_300,
καταπατέω,6,christian_0_300,
νεκρός,6,christian_0_300,-1.0
ἐχθραίνω,6,christian_0_300,
αἴτιος,6,christian_0_300,4.0
ὀνομάζω,6,christian_0_300,-1.0
πρόσειμι,6,christian_0_300,
βλέπω,6,christian_0_300,-1.0
ὄνομα,6,christian_0_300,-1.0
ἀγών,6,christian_0_300,-1.0
πυρόω,6,christian_0_300,
κληρονομία,6,christian_0_300,
αἰχμαλωσία,6,christian_0_300,
ἐγκαταλείπω,6,christian_0_300,
συνέδριον,6,christian_0_300,
παίζω,6,christian_0_300,
ἐκλείπω,6,christian_0_300,
ἀφίημι,5,christian_0_300,-1.0
λίθος,5,christian_0_300,-1.0
στόμα,5,christian_0_300,-1.0
προφήτης,5,christian_0_300,-1.0
καταλλάσσω,5,christian_0_300,
εὐαγγέλιον,5,christian_0_300,-1.0
ἀπώλεια,5,christian_0_300,
κτίσις,5,christian_0_300,-1.0
λοιπός,5,christian_0_300,-1.0
ὅμοιος,5,christian_0_300,-1.0
τρόπος,5,christian_0_300,-1.0
χοῦς,5,christian_0_300,
κελεύω,5,christian_0_300,-1.0
σοφία,5,christian_0_300,-1.0
ἀσπάζομαι,5,christian_0_300,
χάρις,5,christian_0_300,-1.0
φυλάσσω,5,christian_0_300,-1.0
εὐχή,5,christian_0_300,-1.0
χρόνος,5,christian_0_300,-1.0
ἔοικα,5,christian_0_300,-1.0
ἐρῶ,5,christian_0_300,
ἐξετάζω,5,christian_0_300,-1.0
καρδία,5,christian_0_300,-1.0
ἀνάγω,5,christian_0_300,-1.0
ἡμέτερος,5,christian_0_300,-1.0
ἄρχω,5,christian_0_300,-1.0
ἄδικος,5,christian_0_300,4.0
ὅλος,5,christian_0_300,-1.0
βούλημα,5,christian_0_300,-1.0
πρόφασις,5,christian_0_300,-1.0
ἀγάπη,5,christian_0_300,-1.0
λοιδορέω,5,christian_0_300,
παρακαλέω,5,christian_0_300,-1.0
ὑποφέρω,5,christian_0_300,
θησαυρός,5,christian_0_300,
μαστιγόω,5,christian_0_300,
